"Competitor","Brand","Type","Model","Price","Processor","RAM","Storage","Screen","Form Factor","Cosmetic Grade"
"DiscountPC","Dell","Desktop","OptiPlex 3050 SFF","99.99","i5 Gen 6","","","","SFF","N/A"
"PCLiquidations","Lenovo","Desktop","ThinkCentre M92P","99.99","Intel Core i5 (i5-3470T) 2.9GHz Dual Core Processor","8GB DDR3","256GB 2.5" SATA","","Tiny","N/A"
"PCLiquidations","Lenovo","Desktop","ThinkCentre M92P","99.99","Intel Core i5 (i5-3470T) 2.9GHz Dual Core Processor","8GB DDR3","256GB 2.5" SATA","","Tiny","N/A"
"PCLiquidations","Lenovo","Desktop","ThinkCentre M92P","99.99","Intel Core i5 (i5-3470T) 2.9GHz Dual Core Processor","8GB DDR3","256GB 2.5" SATA","","Tiny","N/A"
"PCLiquidations","Lenovo","Desktop","ThinkCentre M92P","99.99","Intel Core i5 (i5-3470T) 2.9GHz Dual Core Processor","8GB DDR3","256GB 2.5" SATA","","Tiny","N/A"
"PCLiquidations","Lenovo","Desktop","ThinkCentre M92P","99.99","Intel Core i5 (i5-3470T) 2.9GHz Dual Core Processor","8GB DDR3","256GB 2.5" SATA","","Tiny","N/A"
"PCLiquidations","Lenovo","Desktop","ThinkCentre M93p","129.99","Intel Core i5 (i5-4570T) 2.9GHz - 3.60GHz Max Dual Core Processor","8GB DDR3","256GB 2.5" SATA SSD","","Tiny","N/A"
"PCLiquidations","Lenovo","Desktop","ThinkCentre M93p","129.99","Intel Core i5 (i5-4570T) 2.9GHz - 3.60GHz Max Dual Core Processor","8GB DDR3","256GB 2.5" SATA SSD","","Tiny","N/A"
"PCLiquidations","Lenovo","Desktop","ThinkCentre M93p","129.99","Intel Core i5 (i5-4570T) 2.9GHz - 3.60GHz Max Dual Core Processor","8GB DDR3","256GB 2.5" SATA SSD","","Tiny","N/A"
"PCLiquidations","Lenovo","Desktop","ThinkCentre M93p","129.99","Intel Core i5 (i5-4570T) 2.9GHz - 3.60GHz Max Dual Core Processor","8GB DDR3","256GB 2.5" SATA SSD","","Tiny","N/A"
"PCLiquidations","Lenovo","Desktop","ThinkCentre M93p","129.99","Intel Core i5 (i5-4570T) 2.9GHz - 3.60GHz Max Dual Core Processor","8GB DDR3","256GB 2.5" SATA SSD","","Tiny","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3050","139.95","Intel i3-7100T 3.4GHz","8GB DDR4","256GB M.2 SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3050","139.95","Intel i3-7100T 3.4GHz","8GB DDR4","256GB M.2 SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3050","139.95","Intel i3-7100T 3.4GHz","8GB DDR4","256GB M.2 SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3050","139.95","Intel i3-7100T 3.4GHz","8GB DDR4","256GB M.2 SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3050 Micro","139.95","Intel i3-7100T 3.4GHz","8GB DDR4","256GB M.2 SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3050","139.95","Intel i3-7100T 3.4GHz","8GB DDR4","256GB M.2 SSD","","Micro","N/A"
"PCLiquidations","Dell","Desktop","OptiPlex 3050 Micro","139.95","Intel i3-7100T 3.4GHz","8GB DDR4","256GB M.2 SSD","","Micro","N/A"
